apps/finergy/finergy/www/printview.py +83,Not allowed to print cancelled documents,Not allowed to print canceled documents
apps/finergy/finergy/templates/pages/integrations/payment-cancel.html +3,Payment Cancelled,Payment Canceled
apps/finergy/finergy/model/document.py +753,Cannot link cancelled document: {0},Cannot link canceled document: {0}
DocType: Workflow State,zoom-out,zoom-out
DocType: Print Settings,Allow Print for Cancelled,Allow Print for Canceled
apps/finergy/finergy/utils/data.py +641,1 weeks ago,1 week ago
DocType: Workflow State,facetime-video,Facetime-Video
apps/finergy/finergy/desk/doctype/bulk_update/bulk_update.py +50,Cancelling {0},Canceling {0}
apps/finergy/finergy/model/document.py +685,Cannot edit cancelled document,Cannot edit canceled document
apps/finergy/finergy/templates/pages/integrations/payment-cancel.html +11,Your payment is cancelled.,Your payment is canceled.
apps/finergy/finergy/public/js/finergyrs/list/bulk_operations.js +23,You selected Draft or Cancelled documents,You selected Draft or Canceled documents
DocType: Workflow Document State,0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Draft; 1 - Submitted; 2 - Canceled
DocType: Communication,Cancelled,Canceled
apps/finergy/finergy/public/js/finergyrs/form/save.js +15,Cancelling,Canceling
apps/finergy/finergy/core/doctype/deleted_document/deleted_document.py +20,Cancelled Document restored as Draft,Canceled Document restored as Draft
apps/finergy/finergy/config/setup.py +226,"States for workflow (e.g. Draft, Approved, Cancelled).","States for workflow (e.g. Draft, Approved, Canceled)."
apps/finergy/finergy/workflow/doctype/workflow/workflow.py +72,Cannot change state of Cancelled Document. Transition row {0},Cannot change state of Canceled Document. Transition row {0}
apps/finergy/finergy/public/js/finergyrs/form/footer/timeline.js +520,cancelled this document,canceled this document
